Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
944,EU.631.4,P,person,DZ,
945,EU.653.33,P,person,JO,
965,EU.661.93,P,person,DE,
965,EU.661.93,P,person,MA,
966,EU.639.12,P,person,YE,
967,EU.550.29,P,person,MA,
968,EU.574.60,P,person,MA,
1003,EU.1003.87,P,person,ID,
1004,EU.1010.96,P,person,ID,
1016,EU.1042.29,P,person,TN,
1020,EU.1051.65,P,person,TN,
1037,EU.1033.90,P,person,ID,
1040,EU.1006.79,P,person,PH,
1064,EU.1048.13,P,person,ID,(as at December 2003)
1065,EU.1026.81,P,person,PK,
1067,EU.1035.20,P,person,ID,
1068,EU.4055.25,P,person,MY,
1069,EU.1001.60,P,person,ID,
1071,EU.4045.24,P,person,PH,
1077,EU.1034.55,P,person,DZ,
1079,EU.3510.20,P,person,IN,
1082,EU.935.11,P,person,DZ,
1084,EU.909.23,P,person,TN,
1085,EU.955.38,P,person,TN,
1086,EU.3109.38,P,person,SO,
1087,EU.3768.63,P,person,EG,
1088,EU.877.66,P,person,TN,
1089,EU.3205.46,P,person,IQ,
1092,EU.3496.47,P,person,IQ,
1095,EU.958.41,P,person,TN,
1096,EU.3344.50,P,person,TN,
1098,EU.875.64,P,person,DZ,
1101,EU.952.35,P,person,DZ,
1102,EU.953.36,P,person,YE,
1880,EU.1391.61,P,person,IQ,
1883,EU.1392.26,P,person,IQ,
1886,EU.1393.88,P,person,IQ,
1888,EU.1394.53,P,person,IQ,
1890,EU.1395.18,P,person,IQ,
1892,EU.1402.79,P,person,IQ,
1894,EU.1403.44,P,person,IQ,
1896,EU.1451.22,P,person,IQ,
1898,EU.1452.84,P,person,IQ,
1900,EU.1453.49,P,person,IQ,
1920,EU.1462.85,P,person,IQ,
1922,EU.1344.48,P,person,IQ,
1923,EU.1345.13,P,person,IQ,
1924,EU.1346.75,P,person,IQ,
1925,EU.1347.40,P,person,IQ,
1926,EU.1354.49,P,person,IQ,
1964,EU.1447.5,P,person,DZ,
2194,EU.1386.79,P,person,IQ,
2208,EU.1337.39,P,person,IQ,
2223,EU.1352.22,P,person,IQ,
2325,EU.3453.51,P,person,TN,
2700,EU.1168.77,P,person,KW,
2922,EU.1252.57,P,person,ID,
3000,EU.1543.13,P,person,IQ,
3060,EU.1489.36,P,person,TN,
3062,EU.1474.16,P,person,MA,
3080,EU.1475.78,P,person,IQ,
3081,EU.1546.5,P,person,IQ,
3082,EU.1547.67,P,person,IQ,
3083,EU.1548.32,P,person,IQ,
3084,EU.1566.7,P,person,IQ,
3085,EU.1567.69,P,person,IQ,
3140,EU.1516.2,P,person,EG,
3141,EU.1549.94,P,person,EG,
3144,EU.1602.9,P,person,EG,
3146,EU.1550.22,P,person,EG,
3181,EU.3607.30,P,person,CD,
3182,EU.3621.48,P,person,CD,
3183,EU.3712.74,P,person,CD,
3184,EU.3622.13,P,person,CD,
3185,EU.3731.14,P,person,CD,
3186,EU.3733.41,P,person,CD,
3187,EU.3704.3,P,person,RW,
3188,EU.3623.75,P,person,RW,
3189,EU.3625.5,P,person,CD,
3190,EU.3631.49,P,person,CD,
3191,EU.3632.14,P,person,CD,
3192,EU.3633.76,P,person,CD,
3193,EU.3639.60,P,person,UG,
3194,EU.3641.50,P,person,CD,
3195,EU.3649.61,P,person,CD,
3224,EU.3206.11,P,person,IQ,
3225,EU.4066.88,P,person,PH,
3229,EU.4046.86,P,person,PH,
3340,EU.1533.12,P,person,ID,
3341,EU.3282.62,P,person,ID,
3342,EU.1518.29,P,person,ID,
3343,EU.1527.65,P,person,ID,
3361,EU.3950.78,P,person,SD,
3363,EU.3819.85,P,person,SD,Sudanese by birth
3562,EU.1656.68,P,person,TN,
3563,EU.3962.9,P,person,LY,
3641,EU.3310.90,P,person,IQ,
3700,EU.3084.62,P,person,GB,
3741,EU.3624.40,P,person,RW,
3780,EU.3862.44,P,person,IR,
3782,EU.3863.9,P,person,IR,
3784,EU.3864.71,P,person,IR,
3787,EU.3865.36,P,person,IR,
3788,EU.3866.1,P,person,IR,
3789,EU.3875.37,P,person,IR,
3792,EU.3878.29,P,person,IR,
3793,EU.3879.91,P,person,IR,
